sku_id,period_start,actual_units,segment,record_type,period_months,forecast_units,absolute_error,reliability_tier,planning_action,review_cadence,inventory_treatment,owner,block_number,champion_source,individual_rolling_3m_wmape_percent,category_wmape_percent,overall_wmape_percent,selected_model_key,last_actual_month,forecast_start,gap_months
09136M05078000,2027-05-01,,rare,future_forecast,3,0.5748366117477417,,manual_review_with_forecast,manual_approval_before_replenishment,each_planning_cycle,use_forecast_as_guidance_only,planner_and_parts_team,5.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
09136M05078000,2027-08-01,,rare,future_forecast,3,0.3625354766845703,,manual_review_with_forecast,manual_approval_before_replenishment,each_planning_cycle,use_forecast_as_guidance_only,planner_and_parts_team,6.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0914016023000,2026-05-01,,developing,future_forecast,3,0.8540627956390381,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,1.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0914016023000,2026-08-01,,developing,future_forecast,3,0.5505658388137817,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,2.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0914016023000,2026-11-01,,developing,future_forecast,3,0.5241602063179016,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,3.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0914016023000,2027-02-01,,developing,future_forecast,3,0.5669521689414978,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,4.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0914016023000,2027-05-01,,developing,future_forecast,3,0.7227241396903992,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,5.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0914016023000,2027-08-01,,developing,future_forecast,3,0.4627836346626282,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,6.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0914806007000,2026-05-01,,occasional,future_forecast,3,0.5059210658073425,,manual_review_with_forecast,manual_approval_before_replenishment,each_planning_cycle,use_forecast_as_guidance_only,planner_and_parts_team,1.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0914806007000,2026-08-01,,occasional,future_forecast,3,0.3502018451690674,,manual_review_with_forecast,manual_approval_before_replenishment,each_planning_cycle,use_forecast_as_guidance_only,planner_and_parts_team,2.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
