sku_id,total_months,months_with_demand,total_demand,positive_demand_sum,positive_demand_sum_sq,average_demand_interval,squared_coefficient_of_variation,demand_type,zero_month_share
11620M68P01000,63,9,10.0,10.0,12.0,7.0,0.09000000000000002,Intermittent,0.8571428571428572
11620M68P61000,54,8,9.0,9.0,11.0,6.75,0.09876543209876543,Intermittent,0.8518518518518519
11620M74LA0000,64,4,4.0,4.0,4.0,16.0,0.0,Intermittent,0.9375
11620M74LC0000,63,22,34.0,34.0,70.0,2.8636363636363638,0.34799802273850716,Intermittent,0.6507936507936508
11620M76M00000,64,33,65.0,65.0,209.0,1.9393939393939394,0.652189349112426,Lumpy,0.484375
11620M79F40000,63,33,148.0,148.0,1320.0,1.9090909090909092,1.0195740504017532,Lumpy,0.47619047619047616
11620M79G40000,60,4,4.0,4.0,4.0,15.0,0.0,Intermittent,0.9333333333333333
11620M79M00000,25,2,2.0,2.0,2.0,12.5,0.0,Intermittent,0.92
1164176K00000,28,1,1.0,1.0,1.0,28.0,,Intermittent,0.9642857142857143
11649M79F00000,63,16,26.0,26.0,52.0,3.9375,0.24615384615384617,Intermittent,0.746031746031746
11651M53M00000,64,13,16.0,16.0,24.0,4.923076923076923,0.23697916666666657,Intermittent,0.796875
11651M76M20000,64,37,53.0,53.0,103.0,1.7297297297297298,0.3666192001898659,Intermittent,0.421875
11670M68K00000,43,2,2.0,2.0,2.0,21.5,0.0,Intermittent,0.9534883720930233
1171057L10000,60,15,20.0,20.0,32.0,4.0,0.21428571428571425,Intermittent,0.75
1171059R00000,24,1,1.0,1.0,1.0,24.0,,Intermittent,0.9583333333333334
1171060A01000,52,5,7.0,7.0,11.0,10.4,0.15306122448979584,Intermittent,0.9038461538461539
1171060K00000,64,13,13.0,13.0,13.0,4.923076923076923,0.0,Intermittent,0.796875
1171065J10000,61,20,32.0,32.0,64.0,3.05,0.263157894736842,Intermittent,0.6721311475409837
1171069D00000,54,3,7.0,7.0,19.0,18.0,0.24489795918367352,Intermittent,0.9444444444444444
1171078F01000,59,3,3.0,3.0,3.0,19.666666666666668,0.0,Intermittent,0.9491525423728814
1171078F11000,54,3,3.0,3.0,3.0,18.0,0.0,Intermittent,0.9444444444444444
1171080J00000,61,13,19.0,19.0,35.0,4.6923076923076925,0.2820867959372115,Intermittent,0.7868852459016393
1171081A01000,44,3,3.0,3.0,3.0,14.666666666666666,0.0,Intermittent,0.9318181818181819
11710M53M00000,64,59,403.0,403.0,4517.0,1.0847457627118644,0.651988031069282,Erratic,0.078125
11710M60MA0000,64,12,15.0,15.0,23.0,5.333333333333333,0.24727272727272726,Intermittent,0.8125
11710M65L00000,64,43,143.0,143.0,751.0,1.4883720930232558,0.5929874321482713,Lumpy,0.328125
11710M67P00000,64,30,57.0,57.0,141.0,2.1333333333333333,0.31235074983283984,Intermittent,0.53125
11710M68K00000,64,48,308.0,308.0,3966.0,1.3333333333333333,1.028166638556249,Lumpy,0.25
11710M68K10000,64,14,42.0,42.0,260.0,4.571428571428571,1.1452991452991454,Lumpy,0.78125
11710M74LA0000,57,9,12.0,12.0,20.0,6.333333333333333,0.28125,Intermittent,0.8421052631578947
11710M74LC0000,64,41,88.0,88.0,264.0,1.5609756097560976,0.40767045454545453,Intermittent,0.359375
11710M74LD0000,63,6,6.0,6.0,6.0,10.5,0.0,Intermittent,0.9047619047619048
11710M76M00000,64,38,102.0,102.0,424.0,1.6842105263157894,0.5634631170963351,Lumpy,0.40625
11710M79F70000,58,25,53.0,53.0,175.0,2.32,0.5807226771092915,Lumpy,0.5689655172413793
11710M79F80000,62,34,166.0,166.0,1676.0,1.8235294117647058,1.1002960362809395,Lumpy,0.4516129032258065
1172057L10000,64,18,23.0,23.0,33.0,3.5555555555555554,0.13010118981430002,Intermittent,0.71875
