sku_id,actual_total,forecast_total,absolute_error,bias,mean_rolling_3m_wmape_percent,actual_positive_months,forecast_positive_months,model_key,model,selection_score
71722M76T005PK,88.0,19.994412304298724,87.32668242896155,-68.00558769570128,99.14633928715577,50,48,xgb_d2_long_sqrt_log,XGB depth2 long sqrt-weight log-size,99.14633928715577
71731M60M00000,181.0,144.91529769643134,143.96351228261875,-36.08470230356866,92.61402789860202,104,144,xgb_d2_long_sqrt_log,XGB depth2 long sqrt-weight log-size,92.61402789860202
7173263T00000,42.0,31.037911326480035,68.661438898039,-10.962088673519965,105.86392552635236,27,49,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,105.86392552635236
7173277M10000,160.0,132.50032715138605,119.10037363945382,-27.49967284861396,87.34992275330269,109,162,xgb_d2_sqrt_log,XGB depth2 sqrt-weight log-size,87.34992275330269
71732M75T00000,47.0,5.159497231245041,45.677607506513596,-41.84050276875496,99.15755081359221,21,13,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,99.15755081359221
71732M76T01000,177.0,60.580096098456075,164.55849340558052,-116.41990390154393,96.3308461484522,72,92,xgb_d3_sqrt_log,XGB depth3 sqrt-weight log-size,96.3308461484522
7173368L00000,83.0,108.53305099540229,120.29664192229109,25.533050995402284,119.1324984414882,55,126,xgb_d2_none_log,XGB depth2 unweighted log-size,119.1324984414882
71734M58R00000,73.0,25.38279473345894,77.53310093283653,-47.61720526654106,103.89252235134812,57,56,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,103.89252235134812
71736M74T00000,77.0,2.7110954225063324,74.7468780875206,-74.28890457749367,96.18993401020562,42,11,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,96.18993401020562
7174050U10CUG,41.0,21.82556802432729,59.548400444903805,-19.17443197567271,99.97769828026111,5,47,xgb_d3_sqrt_log,XGB depth3 sqrt-weight log-size,99.97769828026111
7174063T00EJ1,106.0,111.44221199089942,156.94321891026138,5.4422119908994215,157.74704759106015,67,81,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,157.74704759106015
71740M50S00C48,49.0,12.165830590071216,55.78838223315054,-36.83416940992878,104.89873464374008,24,36,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,104.89873464374008
71740M68P20C48,23.0,10.668732105858343,33.668732105858346,-12.331267894141657,100.0,7,36,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,100.0
71740M74T00C48,237.0,62.008790594123,206.65394335985184,-174.99120940587702,90.57258560189277,80,84,xgb_d3_sqrt_log,XGB depth3 sqrt-weight log-size,90.57258560189277
71740M74T20KDJ,198.0,22.648223520653094,189.40497479880406,-175.3517764793469,95.84565073561234,79,58,xgb_d2_full_log,XGB depth2 full-weight log-size,95.84565073561234
7174173K005PK,151.0,183.62797289857807,147.07747091697019,32.62797289857808,109.25014929789734,84,162,xgb_d2_full_log,XGB depth2 full-weight log-size,109.25014929789734
71741M66L005PK,158.0,279.14398361263454,203.0814316737505,121.14398361263454,179.12920894608698,85,162,xgb_d2_long_sqrt_log,XGB depth2 long sqrt-weight log-size,179.12920894608698
71741M79G10000,81.0,275.13373514395727,230.34107515001097,194.13373514395724,287.70056404643753,53,144,xgb_d3_sqrt_log,XGB depth3 sqrt-weight log-size,287.70056404643753
