sku_id,model_key,model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,horizon_wmape_percent,mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,median_occurrence_probability,mean_probability_threshold,feature_count,fit_status,wmape_valid,selection_score
71812M66L00000,croston_xgb_d2_expected,Croston XGBoost depth2 expected value,9,162,99.0,197.5725093483925,153.8344368338585,98.57250934839249,155.3883200342005,130.90635863774352,100.02596179644266,120,69,162,92,0.5167795717716217,0.0,799,fit_xgboost,True,130.90635863774352
71812M66L00000,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,9,162,99.0,78.49885964393616,124.74358439445496,-20.501140356063843,126.00362060045956,119.23460680411922,100.0,120,69,39,39,0.5167795717716217,0.6888888888888889,799,fit_xgboost,True,119.23460680411922
71812M66L00000,croston_xgb_d2_gate_size,Croston XGBoost depth2 gated size,9,162,99.0,54.00478219985962,122.99532556533813,-44.99521780014038,124.23770259125064,117.46679634849231,100.0,120,69,18,18,0.5167795717716217,0.8000000000000002,799,fit_xgboost,True,117.46679634849231
71812M66L00000,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,9,162,99.0,50.71648025512695,120.64857625961304,-48.28351974487305,121.86724874708388,115.89765623874133,100.0,120,69,18,18,0.5019161105155945,0.7333333333333333,799,fit_xgboost,True,115.89765623874133
71813M66L00000,croston_hist_gate_probsize,Croston HistGB gated probability size,9,162,130.0,55.59173595463607,149.80875517258465,-74.40826404536392,115.23750397891128,120.86718432367458,100.0,136,72,18,18,0.5895334163684129,0.8000000000000002,799,fit_hist_gradient_boosting,True,120.86718432367458
71813M66L00000,croston_rf_gate_probsize,Croston Random Forest gated probability size,9,162,130.0,37.976159076563185,139.6822062134451,-92.02384092343681,107.44785093341932,110.7797003928782,100.0,136,72,18,18,0.6819264972404515,0.8000000000000002,799,fit_random_forest,True,110.7797003928782
71813M66L00000,croston_xgb_d2_expected,Croston XGBoost depth2 expected value,9,162,130.0,201.56510651111603,170.51943147182465,71.56510651111603,131.1687934398651,137.60885732862351,120.89644415037972,136,72,162,114,0.54497230052948,0.0,799,fit_xgboost,True,137.60885732862351
71813M66L00000,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,9,162,130.0,89.89167439937592,148.1040164232254,-40.108325600624084,113.92616647940416,121.36011136419216,100.0,136,72,56,56,0.54497230052948,0.6888888888888889,799,fit_xgboost,True,121.36011136419216
71813M66L00000,croston_xgb_d2_gate_size,Croston XGBoost depth2 gated size,9,162,130.0,48.328688621520996,144.8412847518921,-81.671311378479,111.41637288607083,116.31192158876347,100.0,136,72,18,18,0.54497230052948,0.8000000000000002,799,fit_xgboost,True,116.31192158876347
71813M66L00000,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,9,162,130.0,65.68959975242615,144.60855102539062,-64.31040024757385,111.23734694260817,116.10503846836858,100.0,136,72,38,38,0.5517380833625793,0.7333333333333333,799,fit_xgboost,True,116.10503846836858
