sku_id,candidate_source,candidate_model,mean_rolling_3m_wmape_percent,fair08_source,fair08_model,fair08_mean_rolling_3m_wmape_percent,delta_09_champion_minus_08
3591075F61000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
35910M74L01000,08_fair_champion,SBA Croston,81.50850854105656,06_intermittent_tournament,SBA Croston,81.50850854105656,0.0
3611050A30000,09_croston_ml_hybrid,Croston XGBoost depth2 gated probability size,100.1344308966682,07_clean_regression,Direct Extra Trees log1p,146.3667450091056,-46.23231411243741
3613050A30000,09_croston_ml_hybrid,Croston XGBoost depth2 gated probability size,99.1735528916221,07_clean_regression,Direct Extra Trees log1p,124.7393045082228,-25.565751616600707
36230M70CA1000,08_fair_champion,Hurdle Random Forest threshold 0.35,102.80814129495845,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,102.80814129495845,0.0
36250M74T55000,08_fair_champion,Direct Hist Gradient Squared,80.19030632722693,07_clean_regression,Direct Hist Gradient Squared,80.19030632722693,0.0
3627479P01000,08_fair_champion,SBA Croston Tuned,88.34958026367312,06_intermittent_tournament,SBA Croston Tuned,88.34958026367312,0.0
3641054G01000,08_fair_champion,SBA Croston,115.50650384556978,06_intermittent_tournament,SBA Croston,115.50650384556978,0.0
3641063J02000,08_fair_champion,SBA Croston,104.51304144980148,06_intermittent_tournament,SBA Croston,104.51304144980148,0.0
3641075F01000,09_croston_ml_hybrid,Croston XGBoost depth2 gated probability size,101.76179962114445,06_intermittent_tournament,SBA Croston,116.10344126591592,-14.341641644771471
36410M60B30000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
36410M67K10000,08_fair_champion,Direct Extra Trees log1p,86.90496189331866,07_clean_regression,Direct Extra Trees log1p,86.90496189331866,0.0
3641275F00000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
36430M76M00000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
3658054P00000,09_croston_ml_hybrid,Croston HistGB gated probability size,98.5061603681242,06_intermittent_tournament,SBA Croston,109.06573578552104,-10.559575417396843
3658354P01000,08_fair_champion,Direct XGBoost Tweedie,76.49827424432179,07_clean_regression,Direct XGBoost Tweedie,76.49827424432179,0.0
37019M79MK0000,09_croston_ml_hybrid,Croston Random Forest gated probability size,98.4803506323396,06_intermittent_tournament,SBA Croston,110.75839917056172,-12.278048538222123
37145M55B21000,08_fair_champion,SBA Croston,98.44337633510104,06_intermittent_tournament,SBA Croston,98.44337633510104,0.0
37145M56R20000,08_fair_champion,SBA Croston,120.73547704514708,06_intermittent_tournament,SBA Croston,120.73547704514708,0.0
37145M66L00000,08_fair_champion,SBA Croston,104.06243046686544,06_intermittent_tournament,SBA Croston,104.06243046686544,0.0
37736M58R00000,09_croston_ml_hybrid,Croston XGBoost depth2 gated probability size,98.52736618883016,06_intermittent_tournament,SBA Croston,101.4964795022116,-2.969113313381442
37736M79M00000,09_croston_ml_hybrid,Croston XGBoost depth2 gated probability size,103.49947546914326,08_tuned_capped_full_coverage,Hurdle XGBoost threshold 0.30,103.74578414076662,-0.24630867162335335
