sku_id,recommended_model_key,recommended_model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,recommended_horizon_wmape_percent,recommended_mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,feature_count,fit_status,wmape_valid,recommended_selection_score,recommended_selection_metric,recommended_bias_percent,recommended_wmape_band,recommendation_quality
3565050J10000,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,162,34.0,17.460954933670486,48.52544366404956,-16.539045066329514,142.72189312955754,106.07231676344372,103.50591443171794,40,16,162,0,779,fallback_hist_poisson_xgboost_missing,True,106.07231676344372,mean_rolling_3m_wmape_percent,-48.644250195086805,100_to_200,under_200
35750M53T01000,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,105,120.0,75.41299125817565,119.22104313166183,-44.587008741824356,99.35086927638486,106.23483501352632,91.88038359106356,91,55,105,19,779,fallback_hist_poisson_xgboost_missing,True,106.23483501352632,mean_rolling_3m_wmape_percent,-37.155840618186964,100_to_200,under_200
7783179J000PG,direct_tweedie_glm,Direct Tweedie GLM,9,162,88.0,44.94622865745606,124.50457831765436,-43.05377134254394,141.48247536097085,106.33326463575334,108.3889244168109,39,14,162,0,779,fit,True,106.33326463575334,mean_rolling_3m_wmape_percent,-48.92474016198175,100_to_200,under_200
09409063095ES,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,150.0,74.15960415773469,217.86862415635593,-75.84039584226532,145.24574943757062,106.33723655733418,101.79810412323312,25,9,162,1,779,fit,True,106.33723655733418,mean_rolling_3m_wmape_percent,-50.56026389484355,100_to_200,under_200
3591075F61000,direct_hist_poisson,Direct Hist Gradient Poisson,9,162,28.0,29.938377099732712,54.75984314894744,1.93837709973271,195.570868389098,106.47502496783353,106.33618837578973,23,8,162,0,779,fit,True,106.47502496783353,mean_rolling_3m_wmape_percent,6.922775356188251,100_to_200,under_200
4321071L91QC8,direct_tweedie_glm,Direct Tweedie GLM,9,162,50.0,30.122528735086952,77.60257998080164,-19.877471264913048,155.20515996160327,106.53127092063369,101.80513191656317,22,8,162,0,779,fit,True,106.53127092063369,mean_rolling_3m_wmape_percent,-39.754942529826096,100_to_200,under_200
7185160G00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,194.0,262.69191939471847,220.94991926237924,68.69191939471847,113.8917109599893,106.54008041545757,93.76988605916625,137,75,162,134,779,fit,True,106.54008041545757,mean_rolling_3m_wmape_percent,35.408205873566224,100_to_200,under_200
37736M58R00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,151.0,130.050798030399,156.06266081507374,-20.949201969600992,103.35275550667136,106.59775871618442,86.33043304857786,141,83,162,53,779,fit,True,106.59775871618442,mean_rolling_3m_wmape_percent,-13.873643688477477,100_to_200,under_200
09409073255PK,direct_hist_poisson,Direct Hist Gradient Poisson,9,162,40.0,51.39053001008739,86.54127652988049,11.390530010087375,216.3531913247012,106.64011033949402,106.59928485584521,25,9,162,0,779,fit,True,106.64011033949402,mean_rolling_3m_wmape_percent,28.476325025218436,100_to_200,under_200
82811M75J00000,direct_tweedie_glm,Direct Tweedie GLM,9,162,104.0,94.59257862147794,117.68369932586047,-9.407421378522056,113.15740319794276,106.69171622380816,92.87412174625312,130,71,162,10,779,fit,True,106.69171622380816,mean_rolling_3m_wmape_percent,-9.04559747934813,100_to_200,under_200
