sku_id,candidate_source,candidate_model_key,candidate_model,mean_rolling_3m_wmape_percent,horizon_wmape_percent,actual_total,forecast_total,absolute_error,bias,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,selection_score,champion_quality,sku_predictability_segment
09409M15L01000,08_tuned_capped_regression,extra_trees_log1p_leaf10_sqrt,Extra Trees log1p leaf10 sqrt,105.56749589392548,91.44814220570095,1318.0,513.5085332598655,1205.2865142711385,-804.4914667401345,89,144,144,105.56749589392548,under_200,high_volume_repeatable
0944829004000,06_intermittent_tournament,sba_croston,SBA Croston,100.0,100.0,8.0,0.0,8.0,-8.0,8,0,0,100.0,under_100,sparse_lumpy
0947112236000,06_intermittent_tournament,sba_croston,SBA Croston,104.69393392843922,121.6982067249648,168.0,75.24064704388599,204.45298729794084,-92.759352956114,47,162,0,104.69393392843922,under_200,repeatable_lumpy
09471M12182000,08_tuned_capped_regression,xgb_tweedie_depth2_reg20_cap15,XGBoost Tweedie depth2 reg20 cap15,108.35183625818351,109.50386370046489,27.0,6.125287038888359,29.56604319912552,-20.87471296111164,5,18,0,108.35183625818351,under_200,sparse_lumpy
1161054G30000,08_tuned_capped_regression,hurdle_xgb_thr30,Hurdle XGBoost threshold 0.30,104.52028263241647,140.0490498784747,57.0,27.67595903423131,79.82795843073059,-29.32404096576869,20,53,0,104.52028263241647,under_200,repeatable_lumpy
1161060R00000,08_tuned_capped_regression,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,52.0,0.0,52.0,-52.0,40,0,0,100.0,under_100,repeatable_lumpy
1161061M01000,08_tuned_capped_regression,hurdle_rf_thr25,Hurdle Random Forest threshold 0.25,100.0,118.5505044780487,10.0,1.8550504478048704,11.85505044780487,-8.14494955219513,4,3,0,100.0,under_100,sparse_lumpy
1161073K00000,06_intermittent_tournament,sba_croston,SBA Croston,132.93465584921313,198.3260380504023,89.0,101.29921405313604,176.51017386485805,12.29921405313603,12,162,0,132.93465584921313,under_200,sparse_lumpy
11610M65L00000,06_intermittent_tournament,sba_croston,SBA Croston,104.44284675084516,110.20603475529626,171.0,56.49386794807012,188.4523194315566,-114.50613205192988,69,90,0,104.44284675084516,under_200,high_volume_repeatable
11610M67P10000,08_tuned_capped_regression,extra_trees_log1p_leaf10_sqrt,Extra Trees log1p leaf10 sqrt,84.271703012899,87.93665951830837,179.0,201.62830814808783,157.406620537772,22.62830814808782,92,144,129,84.271703012899,under_100,high_volume_repeatable
11610M76M00000,06_intermittent_tournament,sba_croston,SBA Croston,108.8134192604322,98.6751799632692,135.0,82.31343671279836,133.21149295041343,-52.68656328720163,82,162,0,108.8134192604322,under_200,high_volume_repeatable
11610M79F30000,06_intermittent_tournament,sba_croston,SBA Croston,146.53175299394098,296.75454766395217,37.0,112.8100954294226,109.7991826356623,75.8100954294226,29,162,0,146.53175299394098,under_200,repeatable_lumpy
11610M79G50000,08_tuned_capped_regression,extra_trees_log1p_leaf5_sqrt,Extra Trees log1p leaf5 sqrt,119.08781966766392,178.12371759744772,69.0,132.9230728824988,122.90536514223894,63.92307288249878,31,108,78,119.08781966766392,under_200,repeatable_lumpy
11620M65L10000,06_intermittent_tournament,sba_croston,SBA Croston,137.73621196695427,220.8173947214891,60.0,147.8349988198923,132.4904368328935,87.83499881989229,41,162,36,137.73621196695427,under_200,repeatable_lumpy
11620M67P00000,08_tuned_capped_regression,extra_trees_log1p_leaf2_sqrt,Extra Trees log1p leaf2 sqrt,128.37331642543336,224.6206692304555,33.0,64.55447455833341,74.12482084605031,31.554474558333418,18,108,4,128.37331642543336,under_200,repeatable_lumpy
11620M68K00000,06_intermittent_tournament,sba_croston,SBA Croston,96.90507607248897,110.6194592131554,109.0,127.98977247609128,120.57521054233938,18.989772476091293,76,144,72,96.90507607248897,under_100,repeatable_lumpy
11620M76M00000,08_tuned_capped_regression,rf_log1p_leaf2_sqrt,Random Forest log1p leaf2 sqrt,92.34348739037044,179.11241948795262,11.0,24.11707948063032,19.702366143674787,13.11707948063032,7,18,18,92.34348739037044,under_100,sparse_lumpy
11620M79F40000,06_intermittent_tournament,sba_croston,SBA Croston,107.1644529495021,163.1548612831747,89.0,108.59834846477568,145.2078265420255,19.598348464775704,46,162,0,107.1644529495021,under_200,repeatable_lumpy
11710M65L00000,06_intermittent_tournament,sba_croston,SBA Croston,95.23220709969296,95.807907353329,189.0,61.54182062047276,181.07694489779183,-127.45817937952724,96,162,0,95.23220709969296,under_100,high_volume_repeatable
11710M68K00000,06_intermittent_tournament,sba_croston,SBA Croston,100.34556164031667,98.99161371707643,185.0,116.09595137443526,183.13448537659144,-68.90404862556474,89,144,18,100.34556164031667,under_200,high_volume_repeatable
11710M68K10000,08_tuned_capped_regression,extra_trees_log1p_leaf5_half,Extra Trees log1p leaf5 half features,114.78559230731308,142.19956864222638,36.0,21.32706225206125,51.191844711201504,-14.672937747938752,7,54,0,114.78559230731308,under_200,sparse_lumpy
