sku_id,suzuki_model,mapping_method
5861952R00000,,unmapped
58630M68P20000,,unmapped
58630M68P30000,,unmapped
58642M62S00000,,unmapped
58671M55R00000,,unmapped
5870060K02000,,unmapped
5870073R00000,,unmapped
58700M55R20000,,unmapped
58700M62S10000,,unmapped
58700M68P11000,,unmapped
58700M74L10000,,unmapped
58714M68P10000,,unmapped
58718M68P10000,,unmapped
5875052R00000,,unmapped
5881157M00000,,unmapped
59211M62S10000,,unmapped
59781M74L00000,,unmapped
61513M68P10000,,unmapped
61513M76T00000,,unmapped
61518M84000000,,unmapped
62130M80T00000,,unmapped
62611M52R00000,,unmapped
62700M50S00000,,unmapped
63340M68P10000,,unmapped
6361161J31P31,,unmapped
63740M68P10000,,unmapped
63880M68P10000,,unmapped
63881M55R00000,,unmapped
6411153R01P21,,unmapped
6411161MV0P31,,unmapped
6411165J01P31,,unmapped
6411171LV0P31,,unmapped
6411171LV0P41,,unmapped
6411178R00P11,JIMNY,description_keyword_exact
64111M53M11P31,,unmapped
64111M56R01P31,,unmapped
64111M76T00P11,,unmapped
64111M76T00P31,,unmapped
64111M81R00P41,,unmapped
6451154P01P31,,unmapped
6451171LV0P31,,unmapped
6451178R00P41,JIMNY,description_keyword_exact
64511M55R00P31,,unmapped
64511M55R00P41,,unmapped
64511M55T00P31,,unmapped
64511M68PB0P11,,unmapped
64511M74L01P41,,unmapped
64511M75L00P31,,unmapped
64511M76M00P31,,unmapped
64511M76M00P41,,unmapped
64512M62S00000,,unmapped
64520M56R00000,,unmapped
64520M68P10000,,unmapped
64530M55R00000,,unmapped
64530M76M00000,,unmapped
6453168L00000,,unmapped
64570M53M00000,,unmapped
6485053R00000,,unmapped
6485073R00000,,unmapped
64850M55T00000,,unmapped
64850M68K01000,,unmapped
64850M74T00000,,unmapped
64850M75L00000,,unmapped
65400M76MA0000,,unmapped
6550054P00000,,unmapped
65560M76T00000,,unmapped
6570054830000,,unmapped
65700M82R00000,,unmapped
65700M82R10000,,unmapped
65820M56R00000,,unmapped
65820M75L10000,,unmapped
6800161J32000,,unmapped
6800161M01000,,unmapped
6800179P00000,,unmapped
68001M60M01000,,unmapped
68001M76M11000,,unmapped
6800252S22000,,unmapped
6800263J01000,,unmapped
6800264J01000,,unmapped
6800265860000,,unmapped
6800273R02000,,unmapped
6800277R01000,JIMNY,description_keyword_exact
68002M53T11000,,unmapped
68002M76M11000,,unmapped
68002M79G10000,,unmapped
68002M79G60000,,unmapped
6800379P02000,,unmapped
68003M68K21000,,unmapped
68003M76M11000,,unmapped
68003M76T00000,,unmapped
6800461M01000,,unmapped
6800462R00000,,unmapped
6800463J00000,,unmapped
6800471L00000,,unmapped
6800473R22000,,unmapped
6800479P00000,,unmapped
68004M53T10000,,unmapped
68004M68K20000,,unmapped
68004M76M11000,,unmapped
6910063T00000,,unmapped
6910071L20000,,unmapped
6910077M52000,,unmapped
6910080G12000,,unmapped
69100M60M51000,,unmapped
69100M68K10000,,unmapped
69100M76M50000,,unmapped
69100M76T10000,,unmapped
69100M81R00000,,unmapped
6931068L00000,,unmapped
6932060G01000,,unmapped
69320M79G00000,,unmapped
6933068LA0000,,unmapped
6941068LA0000,,unmapped
6942068LA0000,,unmapped
6942068LB0000,,unmapped
69420M74L00000,,unmapped
6943063J00000,,unmapped
69430M60M00000,,unmapped
69430M66R00000,,unmapped
6944060M00000,,unmapped
6944068L00000,,unmapped
6944068LA0000,,unmapped
69440M66R00000,,unmapped
6951073R00000,,unmapped
69510M64L00000,,unmapped
6952077R00000,JIMNY,description_keyword_exact
71091M84000000,,unmapped
71092M843005PK,,unmapped
71131M74T00000,,unmapped
7144161J00000,,unmapped
7171154GA1799,,unmapped
7171157L20799,,unmapped
7171161M10799,,unmapped
7171165J41799,,unmapped
7171165J71799,,unmapped
7171177K40799,,unmapped
7171177MJ0799,,unmapped
7171180J20799,,unmapped
71711M79G005PK,,unmapped
71711M84P00799,,unmapped
7171252R00ZMV,,unmapped
7171252R00ZWG,,unmapped
7171254G50ZJ3,,unmapped
7171260P00ZNC,,unmapped
7171261J00799,,unmapped
7171268R00ZWG,,unmapped
71712M82R005PK,,unmapped
7171368R015PK,,unmapped
7171372S00000,,unmapped
7171454GA0ZJ3,,unmapped
7171554P005PK,,unmapped
7172154L005PK,,unmapped
7172157L005PK,,unmapped
7172163J005PK,,unmapped
